Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
95958/188533;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;0.0;-468.2;0;0
107838/139386;Šablony na vırobu bambulek 4 sady;172.78;271.5;98.72;36.36;35
107839/139386;Šablony na vırobu bambulek 4 sady;431.95;475.2;43.25;9.1;10
43765/139386;Šablony na vırobu bambulek 4 sady;157.08;208.6;51.52;24.7;25
50370/147638;Rovné jehlice è. 10 bambus;26.46;62.0;35.54;57.32;55
86194/147638;Rovné jehlice è. 10 bambus;514.5;566.0;51.5;9.1;10
99177/147638;Rovné jehlice è. 10 bambus;105.84;0.0;-105.84;0;0
116242/174506;Rovné jehlice è. 3,5;271.0;298.1;27.1;9.09;10
116242/255150;Rovné jehlice è. 3,5;271.0;298.1;27.1;9.09;10
69248/174506;Rovné jehlice è. 3,5;13.55;32.7;19.15;58.56;60
69248/255150;Rovné jehlice è. 3,5;13.55;32.7;19.15;58.56;60
69500/174506;Rovné jehlice è. 3,5;67.75;106.5;38.75;36.38;35
69500/255150;Rovné jehlice è. 3,5;67.75;106.5;38.75;36.38;35
117966/174508;"Rovné jehlice è. 4; 4,5";266.6;293.3;26.7;9.1;10
117966/196684;"Rovné jehlice è. 4; 4,5";266.6;293.3;26.7;9.1;10
69249/174508;"Rovné jehlice è. 4; 4,5";13.33;28.2;14.87;52.73;55
69249/196684;"Rovné jehlice è. 4; 4,5";13.33;28.2;14.87;52.73;55
69504/174508;"Rovné jehlice è. 4; 4,5";66.65;91.7;25.05;27.32;25
69504/196684;"Rovné jehlice è. 4; 4,5";66.65;91.7;25.05;27.32;25
110361/174512;Rovné jehlice è. 5;76.25;119.8;43.55;36.35;35
69251/174512;Rovné jehlice è. 5;15.25;36.8;21.55;58.56;60
69513/174512;Rovné jehlice è. 5;762.5;838.5;76.0;9.06;10
109685/174551;Rovné jehlice è. 5,5;321.8;354.1;32.3;9.12;10
69252/174551;Rovné jehlice è. 5,5;16.09;38.9;22.81;58.64;60
69518/174551;Rovné jehlice è. 5,5;80.45;126.5;46.05;36.4;35
126204/176917;"Kruhové jehlice è. 3; 3,5; 4";139.8;153.8;14.0;9.1;10
126204/176919;"Kruhové jehlice è. 3; 3,5; 4";139.8;153.8;14.0;9.1;10
70835/176917;"Kruhové jehlice è. 3; 3,5; 4";13.98;33.8;19.82;58.64;60
70835/176918;"Kruhové jehlice è. 3; 3,5; 4";31.46;34.0;2.54;7.47;5
70835/176919;"Kruhové jehlice è. 3; 3,5; 4";13.98;33.8;19.82;58.64;60
98667/176917;"Kruhové jehlice è. 3; 3,5; 4";69.9;109.8;39.9;36.34;35
98667/176919;"Kruhové jehlice è. 3; 3,5; 4";69.9;109.8;39.9;36.34;35
108381/176761;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";111.78;175.7;63.92;36.38;35
108381/176762;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";111.78;175.7;63.92;36.38;35
108381/176763;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";111.78;175.7;63.92;36.38;35
108381/176765;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";111.78;175.7;63.92;36.38;35
126398/176761;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";186.3;205.0;18.7;9.12;10
126398/176762;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";186.3;205.0;18.7;9.12;10
126398/176763;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";186.3;205.0;18.7;9.12;10
126398/176765;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";186.3;205.0;18.7;9.12;10
70836/176761;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;45.0;26.37;58.6;60
70836/176762;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;45.0;26.37;58.6;60
